Incident_Id,Bias,Cluster
147684,Anti-Jewish,Religion or Belief
143729,Anti-Black or African American,Racial or Ethnicity
143730,Anti-Islamic (Muslim),Religion or Belief
147685,Anti-White,Racial or Ethnicity
147686,Anti-Hispanic or Latino,Racial or Ethnicity
147687,Anti-Other Race/Ethnicity/Ancestry,Racial or Ethnicity
143731,Anti-Gay (Male),Sexual Orientation
147688,Anti-Black or African American,Racial or Ethnicity
147689,Anti-Black or African American,Racial or Ethnicity
143732,Anti-Islamic (Muslim),Religion or Belief
143733,Anti-Black or African American,Racial or Ethnicity
143734,"Anti-Multiple Races, Group",Racial or Ethnicity
147690,Anti-Black or African American,Racial or Ethnicity
147691,Anti-Gay (Male),Sexual Orientation
147692,Anti-Jewish,Religion or Belief
147693,Anti-Hispanic or Latino,Racial or Ethnicity
143735,Anti-Black or African American,Racial or Ethnicity
143736,Anti-Black or African American,Racial or Ethnicity
147694,Anti-Black or African American,Racial or Ethnicity
147797,Anti-Black or African American,Racial or Ethnicity
147798,Anti-Islamic (Muslim),Religion or Belief
143768,Anti-Gay (Male),Sexual Orientation
143769,Anti-Bisexual,Sexual Orientation
147799,"Anti-Multiple Races, Group",Racial or Ethnicity
147800,Anti-Asian,Racial or Ethnicity
143770,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Sexual Orientation
147801,Anti-Gay (Male),Sexual Orientation
143771,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Sexual Orientation
147802,Anti-Jewish,Religion or Belief
143772,Anti-Black or African American,Racial or Ethnicity
143773,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Sexual Orientation
143774,Anti-Black or African American,Racial or Ethnicity
143775,"Anti-Multiple Races, Group",Racial or Ethnicity
143776,"Anti-Multiple Races, Group",Racial or Ethnicity
143777,"Anti-Multiple Races, Group",Racial or Ethnicity
147803,Anti-Black or African American,Racial or Ethnicity
147804,Anti-Gay (Male),Sexual Orientation
147805,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Sexual Orientation
147806,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Sexual Orientation
147807,"Anti-Multiple Religions, Group",Religion or Belief
147808,"Anti-Multiple Religions, Group",Religion or Belief
147809,"Anti-Multiple Races, Group",Racial or Ethnicity
147810,Anti-Gay (Male),Sexual Orientation
147811,"Anti-Multiple Races, Group",Racial or Ethnicity
143778,Anti-Gay (Male),Sexual Orientation
147812,Anti-Gay (Male),Sexual Orientation
147813,Anti-Black or African American,Racial or Ethnicity
143779,Anti-Gay (Male),Sexual Orientation
143780,Anti-Other Race/Ethnicity/Ancestry,Racial or Ethnicity
143781,Anti-Lesbian (Female),Sexual Orientation
143782,Anti-Gay (Male),Sexual Orientation
143783,Anti-White,Racial or Ethnicity
143784,Anti-Gay (Male),Sexual Orientation
147814,Anti-Asian,Racial or Ethnicity
147815,Anti-Other Religion,Religion or Belief
147816,Anti-Lesbian (Female),Sexual Orientation
147817,Anti-Gay (Male),Sexual Orientation
147818,Anti-Hispanic or Latino,Racial or Ethnicity
147819,Anti-White,Racial or Ethnicity
147820,Anti-Black or African American,Racial or Ethnicity
147821,Anti-Other Race/Ethnicity/Ancestry,Racial or Ethnicity
147822,Anti-White,Racial or Ethnicity
143785,Anti-Asian,Racial or Ethnicity
143786,Anti-Lesbian (Female),Sexual Orientation
143787,Anti-Asian,Racial or Ethnicity
143788,Anti-Black or African American,Racial or Ethnicity
143789,Anti-Jewish,Religion or Belief
147823,Anti-Black or African American,Racial or Ethnicity
147824,Anti-White,Racial or Ethnicity
147825,Anti-Black or African American,Racial or Ethnicity
147826,"Anti-Multiple Religions, Group",Religion or Belief
147827,Anti-Lesbian (Female),Sexual Orientation
147828,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Sexual Orientation
143790,Anti-Black or African American,Racial or Ethnicity
147829,"Anti-Multiple Races, Group",Racial or Ethnicity
147830,Anti-Black or African American,Racial or Ethnicity
143791,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Sexual Orientation
143792,Anti-Jewish,Religion or Belief
143793,Anti-Black or African American,Racial or Ethnicity
143794,Anti-Jewish,Religion or Belief
143795,Anti-Jewish,Religion or Belief
143796,Anti-Jewish,Religion or Belief
143797,Anti-Black or African American,Racial or Ethnicity
143798,Anti-Jewish,Religion or Belief
143799,Anti-Jewish,Religion or Belief
143800,Anti-Hispanic or Latino,Racial or Ethnicity
143801,Anti-Gay (Male),Sexual Orientation
143802,Anti-Hispanic or Latino,Racial or Ethnicity
143803,Anti-Islamic (Muslim),Religion or Belief
147831,Anti-Black or African American,Racial or Ethnicity
147832,Anti-Jewish,Religion or Belief
143804,Anti-Black or African American,Racial or Ethnicity
143805,Anti-Jewish,Religion or Belief
143806,Anti-Other Race/Ethnicity/Ancestry,Racial or Ethnicity
143807,Anti-Black or African American,Racial or Ethnicity
143808,Anti-Black or African American,Racial or Ethnicity
143809,Anti-White,Racial or Ethnicity
143810,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Sexual Orientation
143811,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Sexual Orientation
143812,Anti-Other Race/Ethnicity/Ancestry,Racial or Ethnicity
147833,Anti-Black or African American,Racial or Ethnicity
143813,Anti-Black or African American,Racial or Ethnicity
147834,Anti-White,Racial or Ethnicity
143814,Anti-Gay (Male),Sexual Orientation
147835,"Anti-Multiple Races, Group",Racial or Ethnicity
143815,Anti-Black or African American,Racial or Ethnicity
143816,Anti-Black or African American,Racial or Ethnicity
147836,Anti-Black or African American,Racial or Ethnicity
147837,Anti-Other Race/Ethnicity/Ancestry,Racial or Ethnicity
147838,Anti-Black or African American,Racial or Ethnicity
143817,Anti-Hispanic or Latino,Racial or Ethnicity
147839,Anti-Black or African American,Racial or Ethnicity
143818,Anti-Black or African American,Racial or Ethnicity
143819,Anti-Black or African American,Racial or Ethnicity
147840,Anti-Hispanic or Latino,Racial or Ethnicity
147841,Anti-Black or African American,Racial or Ethnicity
147842,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Sexual Orientation
143820,Anti-Gay (Male),Sexual Orientation
147843,Anti-White,Racial or Ethnicity
143821,Anti-Black or African American,Racial or Ethnicity
147844,"Anti-Multiple Races, Group",Racial or Ethnicity
147845,Anti-Black or African American,Racial or Ethnicity
143822,Anti-Black or African American,Racial or Ethnicity
143823,Anti-Black or African American,Racial or Ethnicity
147846,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Sexual Orientation
147847,Anti-Hispanic or Latino,Racial or Ethnicity
147848,Anti-Hispanic or Latino,Racial or Ethnicity
143824,Anti-White,Racial or Ethnicity
147849,Anti-Black or African American,Racial or Ethnicity
147850,Anti-Jewish,Religion or Belief
143825,Anti-Black or African American,Racial or Ethnicity
147851,Anti-Black or African American,Racial or Ethnicity
143826,Anti-Black or African American,Racial or Ethnicity
147852,Anti-Gay (Male),Sexual Orientation
147853,Anti-Black or African American,Racial or Ethnicity
143827,Anti-White,Racial or Ethnicity
143828,Anti-Asian,Racial or Ethnicity
147854,Anti-Asian,Racial or Ethnicity
147855,"Anti-Multiple Races, Group",Racial or Ethnicity
143829,Anti-Islamic (Muslim),Religion or Belief
143830,Anti-Lesbian (Female),Sexual Orientation
143831,Anti-Black or African American,Racial or Ethnicity
147856,Anti-Islamic (Muslim),Religion or Belief
147857,Anti-Jewish,Religion or Belief
147858,Anti-Lesbian (Female),Sexual Orientation
143832,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Sexual Orientation
143833,Anti-Gay (Male),Sexual Orientation
147859,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Sexual Orientation
147860,Anti-Other Religion,Religion or Belief
147861,Anti-Other Race/Ethnicity/Ancestry,Racial or Ethnicity
147862,Anti-Gay (Male),Sexual Orientation
143834,Anti-Gay (Male),Sexual Orientation
147863,Anti-Black or African American,Racial or Ethnicity
143835,Anti-Catholic,Religion or Belief
147864,Anti-Lesbian (Female),Sexual Orientation
147865,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Sexual Orientation
143836,Anti-Gay (Male),Sexual Orientation
143837,Anti-Gay (Male),Sexual Orientation
143838,Anti-Hispanic or Latino,Racial or Ethnicity
143839,Anti-Black or African American,Racial or Ethnicity
143840,Anti-Hispanic or Latino,Racial or Ethnicity
143841,Anti-White,Racial or Ethnicity
143842,Anti-Hispanic or Latino,Racial or Ethnicity
143843,Anti-Gay (Male),Sexual Orientation
143844,Anti-Black or African American,Racial or Ethnicity
143845,Anti-Black or African American,Racial or Ethnicity
147866,Anti-Black or African American,Racial or Ethnicity
147867,Anti-Black or African American,Racial or Ethnicity
143846,Anti-White,Racial or Ethnicity
147868,Anti-Black or African American,Racial or Ethnicity
143847,Anti-Heterosexual,Gender Identity
147869,Anti-Black or African American,Racial or Ethnicity
143848,Anti-Black or African American,Racial or Ethnicity
143849,Anti-Hispanic or Latino,Racial or Ethnicity
147870,Anti-Gay (Male),Sexual Orientation
147871,Anti-Islamic (Muslim),Religion or Belief
143850,Anti-Hispanic or Latino,Racial or Ethnicity
147872,Anti-Black or African American,Racial or Ethnicity
143851,Anti-Black or African American,Racial or Ethnicity
143852,Anti-Black or African American,Racial or Ethnicity
143853,Anti-Catholic,Religion or Belief
143854,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Sexual Orientation
143855,Anti-Other Race/Ethnicity/Ancestry,Racial or Ethnicity
143856,Anti-Lesbian (Female),Sexual Orientation
143857,Anti-White,Racial or Ethnicity
143858,Anti-Hispanic or Latino,Racial or Ethnicity
143859,Anti-Other Religion,Religion or Belief
143860,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Sexual Orientation
143861,Anti-White,Racial or Ethnicity
143862,Anti-Black or African American,Racial or Ethnicity
143863,Anti-Islamic (Muslim),Religion or Belief
143864,Anti-Hispanic or Latino,Racial or Ethnicity
143865,Anti-Jewish,Religion or Belief
143866,Anti-Black or African American,Racial or Ethnicity
143867,Anti-Black or African American,Racial or Ethnicity
147709,Anti-Black or African American,Racial or Ethnicity
147710,Anti-Black or African American,Racial or Ethnicity
147711,Anti-Black or African American,Racial or Ethnicity
147712,Anti-Hispanic or Latino,Racial or Ethnicity
147713,Anti-Black or African American,Racial or Ethnicity
147714,Anti-Black or African American,Racial or Ethnicity
147715,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Sexual Orientation
147716,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Sexual Orientation
147717,Anti-Hispanic or Latino,Racial or Ethnicity
147718,Anti-Jewish,Religion or Belief
147873,Anti-Black or African American,Racial or Ethnicity
147874,Anti-Black or African American,Racial or Ethnicity
147875,Anti-Black or African American,Racial or Ethnicity
147876,Anti-Black or African American,Racial or Ethnicity
147877,Anti-Jewish,Religion or Belief
147878,Anti-Gay (Male),Sexual Orientation
147879,Anti-Black or African American,Racial or Ethnicity
147880,"Anti-Multiple Races, Group",Racial or Ethnicity
147881,Anti-Hispanic or Latino,Racial or Ethnicity
147882,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Sexual Orientation
147883,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Sexual Orientation
147884,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Sexual Orientation
147885,Anti-Other Religion,Religion or Belief
147886,Anti-Other Religion,Religion or Belief
143868,Anti-Black or African American,Racial or Ethnicity
147719,Anti-Black or African American,Racial or Ethnicity
147720,Anti-Black or African American,Racial or Ethnicity
147721,Anti-Black or African American,Racial or Ethnicity
143869,Anti-Black or African American,Racial or Ethnicity
143877,Anti-Jewish,Religion or Belief
147732,Anti-Jewish,Religion or Belief
147733,Anti-Black or African American,Racial or Ethnicity
143878,Anti-Hispanic or Latino,Racial or Ethnicity
143879,Anti-Jewish,Religion or Belief
147734,Anti-Black or African American,Racial or Ethnicity
147735,Anti-Black or African American,Racial or Ethnicity
147736,Anti-Jewish,Religion or Belief
143880,Anti-Black or African American,Racial or Ethnicity
143881,Anti-Hispanic or Latino,Racial or Ethnicity
143882,Anti-Black or African American,Racial or Ethnicity
143883,Anti-Black or African American,Racial or Ethnicity
143884,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Sexual Orientation
143885,Anti-Black or African American,Racial or Ethnicity
143886,Anti-Black or African American,Racial or Ethnicity
143887,Anti-Hispanic or Latino,Racial or Ethnicity
143870,Anti-Asian,Racial or Ethnicity
147722,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Sexual Orientation
143871,Anti-Black or African American,Racial or Ethnicity
143872,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Sexual Orientation
